
> darfus-jewellery-erp@2.0.0 dev
> next dev

▲ Next.js 16.2.9 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.137.1:3000
- Environments: .env
✓ Ready in 509ms

 GET /ar/reports 200 in 65ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 53ms)
 GET /ar/employees 200 in 64ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 52ms)
 GET /ar/settings/users 200 in 71ms (next.js: 11ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 58ms)
 GET /ar/audit 200 in 67ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 56ms)
 GET /ar/approvals 200 in 67ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 53ms)
 GET /ar/settings 200 in 102ms (next.js: 16ms, proxy.ts: 3ms, generate-params: 12ms, application-code: 82ms)
 GET /en/inventory/gold-by-weight 200 in 497ms (next.js: 426ms, proxy.ts: 5ms, generate-params: 395ms, application-code: 65ms)
 GET /en/inventory/gold-by-piece 200 in 485ms (next.js: 425ms, proxy.ts: 3ms, generate-params: 398ms, application-code: 58ms)
 GET /en/inventory/diamond-jewellery 200 in 494ms (next.js: 433ms, proxy.ts: 3ms, generate-params: 391ms, application-code: 58ms)
 GET /en/inventory/loose-diamond 200 in 506ms (next.js: 449ms, proxy.ts: 3ms, generate-params: 424ms, application-code: 54ms)
 GET /en/inventory/gem-stone 200 in 484ms (next.js: 424ms, proxy.ts: 3ms, generate-params: 399ms, application-code: 57ms)
 GET /en/inventory/loose-gem-stone 200 in 488ms (next.js: 425ms, proxy.ts: 3ms, generate-params: 404ms, application-code: 60ms)
 GET /en/inventory/pearl 200 in 496ms (next.js: 436ms, proxy.ts: 3ms, generate-params: 394ms, application-code: 57ms)
 GET /en/inventory/loose-pearl 200 in 475ms (next.js: 420ms, proxy.ts: 3ms, generate-params: 401ms, application-code: 52ms)
 GET /en/inventory/locations 200 in 494ms (next.js: 430ms, proxy.ts: 3ms, generate-params: 408ms, application-code: 61ms)
○ Compiling /[locale]/inventory/adjustments ...
 GET /en/inventory/adjustments 200 in 5.0s (next.js: 4.9s, proxy.ts: 3ms, generate-params: 421ms, application-code: 66ms)
 GET /en/inventory/manufacturing 200 in 1201ms (next.js: 1134ms, proxy.ts: 3ms, generate-params: 417ms, application-code: 64ms)
 GET /en/suppliers/purchases 200 in 537ms (next.js: 472ms, proxy.ts: 3ms, generate-params: 421ms, application-code: 61ms)
 GET /en/inventory 200 in 55ms (next.js: 15ms, proxy.ts: 4ms, generate-params: 5ms, application-code: 35ms)
 GET /en/inventory 200 in 40ms (next.js: 7ms, proxy.ts: 4ms, generate-params: 118µs, application-code: 29ms)
 GET /en/suppliers/investment-gold 200 in 490ms (next.js: 430ms, proxy.ts: 3ms, generate-params: 390ms, application-code: 57ms)
 GET /en/sales/reservations 200 in 512ms (next.js: 446ms, proxy.ts: 3ms, generate-params: 396ms, application-code: 64ms)
 GET /en/sales/search-print 200 in 2.3s (next.js: 2.2s, proxy.ts: 3ms, generate-params: 418ms, application-code: 76ms)
 GET /en/sales/returns 200 in 1411ms (next.js: 1161ms, proxy.ts: 3ms, generate-params: 424ms, application-code: 247ms)
 GET /en/sales/exchanges 200 in 1152ms (next.js: 1094ms, proxy.ts: 3ms, generate-params: 433ms, application-code: 55ms)
 GET /en/settings/tax 200 in 485ms (next.js: 429ms, proxy.ts: 3ms, generate-params: 406ms, application-code: 53ms)
 GET /en/settings/barcode-codes 200 in 804ms (next.js: 741ms, proxy.ts: 3ms, generate-params: 577ms, application-code: 59ms)
 GET /en/settings/onboarding 200 in 686ms (next.js: 478ms, proxy.ts: 4ms, generate-params: 431ms, application-code: 205ms)
 GET /en/dashboard 200 in 61ms (next.js: 10ms, proxy.ts: 6ms, generate-params: 5ms, application-code: 46ms)
 GET /en/inventory/gold-by-weight 200 in 65ms (next.js: 11ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 51ms)
 GET /en/inventory/gold-by-piece 200 in 63ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 50ms)
 GET /en/inventory/diamond-jewellery 200 in 74ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 62ms)
 GET /en/inventory/loose-diamond 200 in 82ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 69ms)
 GET /en/inventory/gem-stone 200 in 59ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 48ms)
 GET /en/inventory/loose-gem-stone 200 in 60ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 48ms)
 GET /en/inventory/pearl 200 in 62ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 50ms)
 GET /en/inventory/loose-pearl 200 in 66ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 54ms)
 GET /en/inventory/locations 200 in 66ms (next.js: 11ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 52ms)
 GET /en/inventory/adjustments 200 in 67ms (next.js: 12ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 52ms)
 GET /en/inventory/manufacturing 200 in 66ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 53ms)
 GET /en/suppliers/purchases 200 in 66ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 54ms)
